"Name","ReturnType","BriefDescription","DetailedDescription","ParamType","ParamName","ParamDescription","infer_prefix","infer_baseType","infer_clrType"
"MXAggregateProfileStatsPrintEx","int","Print sorted aggregate stats to the a string How aggregate stats are stored will not change. ","out_strwill receive a pointer to the output string resetclear the aggregate stats after printing formatwhether to return in tabular or json format sort_bysort by avg, min, max, or count ascendingwhether to sort ascendingly 0 when success, -1 when failure happens. ","const char**","out_str","will receive a pointer to the output string ","out","const char*","IntPtr"
"MXAggregateProfileStatsPrintEx","int","Print sorted aggregate stats to the a string How aggregate stats are stored will not change. ","out_strwill receive a pointer to the output string resetclear the aggregate stats after printing formatwhether to return in tabular or json format sort_bysort by avg, min, max, or count ascendingwhether to sort ascendingly 0 when success, -1 when failure happens. ","int","reset","will receive a pointer to the output string ","","int","int"
"MXAggregateProfileStatsPrintEx","int","Print sorted aggregate stats to the a string How aggregate stats are stored will not change. ","out_strwill receive a pointer to the output string resetclear the aggregate stats after printing formatwhether to return in tabular or json format sort_bysort by avg, min, max, or count ascendingwhether to sort ascendingly 0 when success, -1 when failure happens. ","int","format","will receive a pointer to the output string ","","int","int"
"MXAggregateProfileStatsPrintEx","int","Print sorted aggregate stats to the a string How aggregate stats are stored will not change. ","out_strwill receive a pointer to the output string resetclear the aggregate stats after printing formatwhether to return in tabular or json format sort_bysort by avg, min, max, or count ascendingwhether to sort ascendingly 0 when success, -1 when failure happens. ","int","sort_by","will receive a pointer to the output string ","","int","int"
"MXAggregateProfileStatsPrintEx","int","Print sorted aggregate stats to the a string How aggregate stats are stored will not change. ","out_strwill receive a pointer to the output string resetclear the aggregate stats after printing formatwhether to return in tabular or json format sort_bysort by avg, min, max, or count ascendingwhether to sort ascendingly 0 when success, -1 when failure happens. ","int","ascending","will receive a pointer to the output string ","","int","int"
"MXProcessProfilePause","int","Pause profiler tuning collection. ","pausedIf nonzero, profiling pauses. Otherwise, profiling resumes/continues profile_processinteger which denotes whether to process worker or server process kvstoreHandlehandle to kvstore 0 when success, -1 when failure happens. pausing and resuming is global and not recursive ","int","paused","If nonzero, profiling pauses. Otherwise, profiling resumes/continues ","","int","int"
"MXProcessProfilePause","int","Pause profiler tuning collection. ","pausedIf nonzero, profiling pauses. Otherwise, profiling resumes/continues profile_processinteger which denotes whether to process worker or server process kvstoreHandlehandle to kvstore 0 when success, -1 when failure happens. pausing and resuming is global and not recursive ","int","profile_process","If nonzero, profiling pauses. Otherwise, profiling resumes/continues ","","int","int"
"MXProcessProfilePause","int","Pause profiler tuning collection. ","pausedIf nonzero, profiling pauses. Otherwise, profiling resumes/continues profile_processinteger which denotes whether to process worker or server process kvstoreHandlehandle to kvstore 0 when success, -1 when failure happens. pausing and resuming is global and not recursive ","KVStoreHandle","kvStoreHandle","","","KVStoreHandle","KVStoreHandle"
"MXProfilePause","int","Pause profiler tuning collection for worker/current process. ","pausedIf nonzero, profiling pauses. Otherwise, profiling resumes/continues 0 when success, -1 when failure happens. pausing and resuming is global and not recursive ","int","paused","If nonzero, profiling pauses. Otherwise, profiling resumes/continues ","","int","int"
"MXProfileCreateDomain","int","Create profiling domain. ","domainString representing the domain name to create outReturn domain object 0 when success, -1 when failure happens. ","const char*","domain","String representing the domain name to create ","","const char*","string"
"MXProfileCreateDomain","int","Create profiling domain. ","domainString representing the domain name to create outReturn domain object 0 when success, -1 when failure happens. ","ProfileHandle*","out","String representing the domain name to create ","out","ProfileHandle","ProfileHandle"
"MXProfileCreateTask","int","Create profile task. ","nameName of the task domainDomain of the task outOutput handle 0 when success, -1 when failure happens. ","ProfileHandle","domain","Name of the task ","","ProfileHandle","ProfileHandle"
"MXProfileCreateTask","int","Create profile task. ","nameName of the task domainDomain of the task outOutput handle 0 when success, -1 when failure happens. ","const char*","task_name","","","const char*","string"
"MXProfileCreateTask","int","Create profile task. ","nameName of the task domainDomain of the task outOutput handle 0 when success, -1 when failure happens. ","ProfileHandle*","out","Name of the task ","out","ProfileHandle","ProfileHandle"
"MXProfileCreateFrame","int","Create profile frame. ","nameName of the frame domainDomain of the frame outOutput handle 0 when success, -1 when failure happens. ","ProfileHandle","domain","Name of the frame ","","ProfileHandle","ProfileHandle"
"MXProfileCreateFrame","int","Create profile frame. ","nameName of the frame domainDomain of the frame outOutput handle 0 when success, -1 when failure happens. ","const char*","frame_name","","","const char*","string"
"MXProfileCreateFrame","int","Create profile frame. ","nameName of the frame domainDomain of the frame outOutput handle 0 when success, -1 when failure happens. ","ProfileHandle*","out","Name of the frame ","out","ProfileHandle","ProfileHandle"
"MXProfileCreateEvent","int","Create profile event. ","nameName of the event outOutput handle 0 when success, -1 when failure happens. ","const char*","event_name","","","const char*","string"
"MXProfileCreateEvent","int","Create profile event. ","nameName of the event outOutput handle 0 when success, -1 when failure happens. ","ProfileHandle*","out","Name of the event ","out","ProfileHandle","ProfileHandle"
"MXProfileCreateCounter","int","Create profile counter. ","nameName of the counter domainDomain of the counter outOutput handle 0 when success, -1 when failure happens. ","ProfileHandle","domain","Name of the counter ","","ProfileHandle","ProfileHandle"
"MXProfileCreateCounter","int","Create profile counter. ","nameName of the counter domainDomain of the counter outOutput handle 0 when success, -1 when failure happens. ","const char*","counter_name","","","const char*","string"
"MXProfileCreateCounter","int","Create profile counter. ","nameName of the counter domainDomain of the counter outOutput handle 0 when success, -1 when failure happens. ","ProfileHandle*","out","Name of the counter ","out","ProfileHandle","ProfileHandle"
"MXProfileDestroyHandle","int","Destroy a frame. ","frame_handleHandle to frame to destroy 0 when success, -1 when failure happens. ","ProfileHandle","frame_handle","Handle to frame to destroy ","","ProfileHandle","ProfileHandle"
"MXProfileDurationStart","int","Start timing the duration of a profile duration object such as an event, task or frame. ","duration_handlehandle to the duration object 0 when success, -1 when failure happens. ","ProfileHandle","duration_handle","handle to the duration object ","","ProfileHandle","ProfileHandle"
"MXProfileDurationStop","int","Stop timing the duration of a profile duration object such as an event, task or frame. ","duration_handlehandle to the duration object 0 when success, -1 when failure happens. ","ProfileHandle","duration_handle","handle to the duration object ","","ProfileHandle","ProfileHandle"
"MXProfileSetCounter","int","Set a counter, given its handle. ","counter_handleHandle to counter to set valueValue to set the counter to (64-bit unsigned integer) 0 when success, -1 when failure happens. ","ProfileHandle","counter_handle","Handle to counter to set ","","ProfileHandle","ProfileHandle"
"MXProfileSetCounter","int","Set a counter, given its handle. ","counter_handleHandle to counter to set valueValue to set the counter to (64-bit unsigned integer) 0 when success, -1 when failure happens. ","uint64_t","value","Handle to counter to set ","","uint64_t","uint64_t"
"MXProfileAdjustCounter","int","Adjust a counter by the given amount, given its handle. ","counter_handleHandle to counter to adjust valueValue to adjust the counter by (64-bit signed integer) 0 when success, -1 when failure happens. ","ProfileHandle","counter_handle","Handle to counter to adjust ","","ProfileHandle","ProfileHandle"
"MXProfileAdjustCounter","int","Adjust a counter by the given amount, given its handle. ","counter_handleHandle to counter to adjust valueValue to adjust the counter by (64-bit signed integer) 0 when success, -1 when failure happens. ","int64_t","value","Handle to counter to adjust ","","int64_t","int64_t"
"MXProfileSetMarker","int","Mark a single instant in time. ","domainDomain of the marker instant_marker_nameName of the marker scopeScope of marker ('global', 'process', 'thread', 'task', 'marker') 0 when success, -1 when failure happens. ","ProfileHandle","domain","Domain of the marker ","","ProfileHandle","ProfileHandle"
"MXProfileSetMarker","int","Mark a single instant in time. ","domainDomain of the marker instant_marker_nameName of the marker scopeScope of marker ('global', 'process', 'thread', 'task', 'marker') 0 when success, -1 when failure happens. ","const char*","instant_marker_name","Domain of the marker ","","const char*","string"
"MXProfileSetMarker","int","Mark a single instant in time. ","domainDomain of the marker instant_marker_nameName of the marker scopeScope of marker ('global', 'process', 'thread', 'task', 'marker') 0 when success, -1 when failure happens. ","const char*","scope","Domain of the marker ","","const char*","string"
"MXSetNumOMPThreads","int","Set the number of OMP threads to use. ","thread_numNumber of OMP threads desired 0 when success, -1 when failure happens. ","int","thread_num","Number of OMP threads desired ","","int","int"
"MXEngineSetBulkSize","int","set bulk execution limit ","bulk_sizenew bulk_size prev_bulk_sizeprevious bulk_size ","int","bulk_size","new bulk_size ","","int","int"
"MXEngineSetBulkSize","int","set bulk execution limit ","bulk_sizenew bulk_size prev_bulk_sizeprevious bulk_size ","int*","prev_bulk_size","new bulk_size ","","int*","IntPtr"
"MXGetGPUCount","int","Get the number of GPUs. ","pointerto int that will hold the number of GPUs available. 0 when success, -1 when failure happens. ","int*","out","to int that will hold the number of GPUs available. ","out","int","int"
"MXGetGPUMemoryInformation","int","get the free and total available memory on a GPU Note: Deprecated, use MXGetGPUMemoryInformation64 instead. ","devthe GPU number to query free_mempointer to the integer holding free GPU memory total_mempointer to the integer holding total GPU memory 0 when success, -1 when failure happens ","int","dev","the GPU number to query ","","int","int"
"MXGetGPUMemoryInformation","int","get the free and total available memory on a GPU Note: Deprecated, use MXGetGPUMemoryInformation64 instead. ","devthe GPU number to query free_mempointer to the integer holding free GPU memory total_mempointer to the integer holding total GPU memory 0 when success, -1 when failure happens ","int*","free_mem","the GPU number to query ","out","int","int"
"MXGetGPUMemoryInformation","int","get the free and total available memory on a GPU Note: Deprecated, use MXGetGPUMemoryInformation64 instead. ","devthe GPU number to query free_mempointer to the integer holding free GPU memory total_mempointer to the integer holding total GPU memory 0 when success, -1 when failure happens ","int*","total_mem","the GPU number to query ","out","int","int"
"MXGetGPUMemoryInformation64","int","get the free and total available memory on a GPU ","devthe GPU number to query free_mempointer to the uint64_t holding free GPU memory total_mempointer to the uint64_t holding total GPU memory 0 when success, -1 when failure happens ","int","dev","the GPU number to query ","","int","int"
"MXGetGPUMemoryInformation64","int","get the free and total available memory on a GPU ","devthe GPU number to query free_mempointer to the uint64_t holding free GPU memory total_mempointer to the uint64_t holding total GPU memory 0 when success, -1 when failure happens ","uint64_t*","free_mem","the GPU number to query ","out","uint64_t","uint64_t"
"MXGetGPUMemoryInformation64","int","get the free and total available memory on a GPU ","devthe GPU number to query free_mempointer to the uint64_t holding free GPU memory total_mempointer to the uint64_t holding total GPU memory 0 when success, -1 when failure happens ","uint64_t*","total_mem","the GPU number to query ","out","uint64_t","uint64_t"
"MXGetVersion","int","get the MXNet library version as an integer ","pointerto the integer holding the version number 0 when success, -1 when failure happens ","int*","out","to the integer holding the version number ","out","int","int"
"MXNDArrayCreateNone","int","Load TVM operator from the binary library. ","libpathTVM operators lib file 0 when success, -1 when failure happens
create a NDArray handle that is not initialized can be used to pass in as mutate variables to hold the result of NDArray outthe returning handle 0 when success, -1 when failure happens ","NDArrayHandle*","out","TVM operators lib file ","out","NDArrayHandle","NDArrayHandle"
"MXNDArrayCreate","int","create a NDArray with specified shape ","shapethe pointer to the shape ndimthe dimension of the shape dev_typedevice type, specify device we want to take dev_idthe device id of the specific device delay_allocwhether to delay allocation until the narray is first mutated outthe returning handle 0 when success, -1 when failure happens ","const mx_uint*","shape","the pointer to the shape ","","const mx_uint*","mx_uint[]"
"MXNDArrayCreate","int","create a NDArray with specified shape ","shapethe pointer to the shape ndimthe dimension of the shape dev_typedevice type, specify device we want to take dev_idthe device id of the specific device delay_allocwhether to delay allocation until the narray is first mutated outthe returning handle 0 when success, -1 when failure happens ","mx_uint","ndim","the pointer to the shape ","","mx_uint","mx_uint"
"MXNDArrayCreate","int","create a NDArray with specified shape ","shapethe pointer to the shape ndimthe dimension of the shape dev_typedevice type, specify device we want to take dev_idthe device id of the specific device delay_allocwhether to delay allocation until the narray is first mutated outthe returning handle 0 when success, -1 when failure happens ","int","dev_type","the pointer to the shape ","","int","int"
"MXNDArrayCreate","int","create a NDArray with specified shape ","shapethe pointer to the shape ndimthe dimension of the shape dev_typedevice type, specify device we want to take dev_idthe device id of the specific device delay_allocwhether to delay allocation until the narray is first mutated outthe returning handle 0 when success, -1 when failure happens ","int","dev_id","the pointer to the shape ","","int","int"
"MXNDArrayCreate","int","create a NDArray with specified shape ","shapethe pointer to the shape ndimthe dimension of the shape dev_typedevice type, specify device we want to take dev_idthe device id of the specific device delay_allocwhether to delay allocation until the narray is first mutated outthe returning handle 0 when success, -1 when failure happens ","int","delay_alloc","the pointer to the shape ","","int","int"
"MXNDArrayCreate","int","create a NDArray with specified shape ","shapethe pointer to the shape ndimthe dimension of the shape dev_typedevice type, specify device we want to take dev_idthe device id of the specific device delay_allocwhether to delay allocation until the narray is first mutated outthe returning handle 0 when success, -1 when failure happens ","NDArrayHandle*","out","the pointer to the shape ","out","NDArrayHandle","NDArrayHandle"
"MXNDArrayCreateEx","int","create a NDArray with specified shape and data type ","shapethe pointer to the shape ndimthe dimension of the shape dev_typedevice type, specify device we want to take dev_idthe device id of the specific device delay_allocwhether to delay allocation until the narray is first mutated dtypedata type of created array outthe returning handle 0 when success, -1 when failure happens ","const mx_uint*","shape","the pointer to the shape ","","const mx_uint*","mx_uint[]"
"MXNDArrayCreateEx","int","create a NDArray with specified shape and data type ","shapethe pointer to the shape ndimthe dimension of the shape dev_typedevice type, specify device we want to take dev_idthe device id of the specific device delay_allocwhether to delay allocation until the narray is first mutated dtypedata type of created array outthe returning handle 0 when success, -1 when failure happens ","mx_uint","ndim","the pointer to the shape ","","mx_uint","mx_uint"
"MXNDArrayCreateEx","int","create a NDArray with specified shape and data type ","shapethe pointer to the shape ndimthe dimension of the shape dev_typedevice type, specify device we want to take dev_idthe device id of the specific device delay_allocwhether to delay allocation until the narray is first mutated dtypedata type of created array outthe returning handle 0 when success, -1 when failure happens ","int","dev_type","the pointer to the shape ","","int","int"
"MXNDArrayCreateEx","int","create a NDArray with specified shape and data type ","shapethe pointer to the shape ndimthe dimension of the shape dev_typedevice type, specify device we want to take dev_idthe device id of the specific device delay_allocwhether to delay allocation until the narray is first mutated dtypedata type of created array outthe returning handle 0 when success, -1 when failure happens ","int","dev_id","the pointer to the shape ","","int","int"
"MXNDArrayCreateEx","int","create a NDArray with specified shape and data type ","shapethe pointer to the shape ndimthe dimension of the shape dev_typedevice type, specify device we want to take dev_idthe device id of the specific device delay_allocwhether to delay allocation until the narray is first mutated dtypedata type of created array outthe returning handle 0 when success, -1 when failure happens ","int","delay_alloc","the pointer to the shape ","","int","int"
"MXNDArrayCreateEx","int","create a NDArray with specified shape and data type ","shapethe pointer to the shape ndimthe dimension of the shape dev_typedevice type, specify device we want to take dev_idthe device id of the specific device delay_allocwhether to delay allocation until the narray is first mutated dtypedata type of created array outthe returning handle 0 when success, -1 when failure happens ","int","dtype","the pointer to the shape ","","int","int"
"MXNDArrayCreateEx","int","create a NDArray with specified shape and data type ","shapethe pointer to the shape ndimthe dimension of the shape dev_typedevice type, specify device we want to take dev_idthe device id of the specific device delay_allocwhether to delay allocation until the narray is first mutated dtypedata type of created array outthe returning handle 0 when success, -1 when failure happens ","NDArrayHandle*","out","the pointer to the shape ","out","NDArrayHandle","NDArrayHandle"
"MXNDArrayCreateEx64","int","","","const mx_int64*","shape","","","const mx_int64*","mx_int64[]"
"MXNDArrayCreateEx64","int","","","int","ndim","","","int","int"
"MXNDArrayCreateEx64","int","","","int","dev_type","","","int","int"
"MXNDArrayCreateEx64","int","","","int","dev_id","","","int","int"
"MXNDArrayCreateEx64","int","","","int","delay_alloc","","","int","int"
"MXNDArrayCreateEx64","int","","","int","dtype","","","int","int"
"MXNDArrayCreateEx64","int","","","NDArrayHandle*","out","","out","NDArrayHandle","NDArrayHandle"
"MXNDArrayCreateSparseEx","int","create an empty sparse NDArray with specified shape and data type ","storage_typethe storage type of the ndarray shapethe pointer to the shape ndimthe dimension of the shape dev_typedevice type, specify device we want to take dev_idthe device id of the specific device delay_allocwhether to delay allocation until the narray is first mutated dtypedata type of created array num_auxthe number of aux data to support this ndarray aux_typedata type of the aux data for the created array aux_ndimsthe dimension of the shapes of aux data aux_shapethe shapes of aux data outthe returning handle 0 when success, -1 when failure happens ","int","storage_type","the storage type of the ndarray ","","int","int"
"MXNDArrayCreateSparseEx","int","create an empty sparse NDArray with specified shape and data type ","storage_typethe storage type of the ndarray shapethe pointer to the shape ndimthe dimension of the shape dev_typedevice type, specify device we want to take dev_idthe device id of the specific device delay_allocwhether to delay allocation until the narray is first mutated dtypedata type of created array num_auxthe number of aux data to support this ndarray aux_typedata type of the aux data for the created array aux_ndimsthe dimension of the shapes of aux data aux_shapethe shapes of aux data outthe returning handle 0 when success, -1 when failure happens ","const mx_uint*","shape","the storage type of the ndarray ","","const mx_uint*","mx_uint[]"
"MXNDArrayCreateSparseEx","int","create an empty sparse NDArray with specified shape and data type ","storage_typethe storage type of the ndarray shapethe pointer to the shape ndimthe dimension of the shape dev_typedevice type, specify device we want to take dev_idthe device id of the specific device delay_allocwhether to delay allocation until the narray is first mutated dtypedata type of created array num_auxthe number of aux data to support this ndarray aux_typedata type of the aux data for the created array aux_ndimsthe dimension of the shapes of aux data aux_shapethe shapes of aux data outthe returning handle 0 when success, -1 when failure happens ","mx_uint","ndim","the storage type of the ndarray ","","mx_uint","mx_uint"
"MXNDArrayCreateSparseEx","int","create an empty sparse NDArray with specified shape and data type ","storage_typethe storage type of the ndarray shapethe pointer to the shape ndimthe dimension of the shape dev_typedevice type, specify device we want to take dev_idthe device id of the specific device delay_allocwhether to delay allocation until the narray is first mutated dtypedata type of created array num_auxthe number of aux data to support this ndarray aux_typedata type of the aux data for the created array aux_ndimsthe dimension of the shapes of aux data aux_shapethe shapes of aux data outthe returning handle 0 when success, -1 when failure happens ","int","dev_type","the storage type of the ndarray ","","int","int"
"MXNDArrayCreateSparseEx","int","create an empty sparse NDArray with specified shape and data type ","storage_typethe storage type of the ndarray shapethe pointer to the shape ndimthe dimension of the shape dev_typedevice type, specify device we want to take dev_idthe device id of the specific device delay_allocwhether to delay allocation until the narray is first mutated dtypedata type of created array num_auxthe number of aux data to support this ndarray aux_typedata type of the aux data for the created array aux_ndimsthe dimension of the shapes of aux data aux_shapethe shapes of aux data outthe returning handle 0 when success, -1 when failure happens ","int","dev_id","the storage type of the ndarray ","","int","int"
"MXNDArrayCreateSparseEx","int","create an empty sparse NDArray with specified shape and data type ","storage_typethe storage type of the ndarray shapethe pointer to the shape ndimthe dimension of the shape dev_typedevice type, specify device we want to take dev_idthe device id of the specific device delay_allocwhether to delay allocation until the narray is first mutated dtypedata type of created array num_auxthe number of aux data to support this ndarray aux_typedata type of the aux data for the created array aux_ndimsthe dimension of the shapes of aux data aux_shapethe shapes of aux data outthe returning handle 0 when success, -1 when failure happens ","int","delay_alloc","the storage type of the ndarray ","","int","int"
"MXNDArrayCreateSparseEx","int","create an empty sparse NDArray with specified shape and data type ","storage_typethe storage type of the ndarray shapethe pointer to the shape ndimthe dimension of the shape dev_typedevice type, specify device we want to take dev_idthe device id of the specific device delay_allocwhether to delay allocation until the narray is first mutated dtypedata type of created array num_auxthe number of aux data to support this ndarray aux_typedata type of the aux data for the created array aux_ndimsthe dimension of the shapes of aux data aux_shapethe shapes of aux data outthe returning handle 0 when success, -1 when failure happens ","int","dtype","the storage type of the ndarray ","","int","int"
"MXNDArrayCreateSparseEx","int","create an empty sparse NDArray with specified shape and data type ","storage_typethe storage type of the ndarray shapethe pointer to the shape ndimthe dimension of the shape dev_typedevice type, specify device we want to take dev_idthe device id of the specific device delay_allocwhether to delay allocation until the narray is first mutated dtypedata type of created array num_auxthe number of aux data to support this ndarray aux_typedata type of the aux data for the created array aux_ndimsthe dimension of the shapes of aux data aux_shapethe shapes of aux data outthe returning handle 0 when success, -1 when failure happens ","mx_uint","num_aux","the storage type of the ndarray ","","mx_uint","mx_uint"
"MXNDArrayCreateSparseEx","int","create an empty sparse NDArray with specified shape and data type ","storage_typethe storage type of the ndarray shapethe pointer to the shape ndimthe dimension of the shape dev_typedevice type, specify device we want to take dev_idthe device id of the specific device delay_allocwhether to delay allocation until the narray is first mutated dtypedata type of created array num_auxthe number of aux data to support this ndarray aux_typedata type of the aux data for the created array aux_ndimsthe dimension of the shapes of aux data aux_shapethe shapes of aux data outthe returning handle 0 when success, -1 when failure happens ","int*","aux_type","the storage type of the ndarray ","","int*","IntPtr"
"MXNDArrayCreateSparseEx","int","create an empty sparse NDArray with specified shape and data type ","storage_typethe storage type of the ndarray shapethe pointer to the shape ndimthe dimension of the shape dev_typedevice type, specify device we want to take dev_idthe device id of the specific device delay_allocwhether to delay allocation until the narray is first mutated dtypedata type of created array num_auxthe number of aux data to support this ndarray aux_typedata type of the aux data for the created array aux_ndimsthe dimension of the shapes of aux data aux_shapethe shapes of aux data outthe returning handle 0 when success, -1 when failure happens ","mx_uint*","aux_ndims","the storage type of the ndarray ","","mx_uint*","IntPtr"
"MXNDArrayCreateSparseEx","int","create an empty sparse NDArray with specified shape and data type ","storage_typethe storage type of the ndarray shapethe pointer to the shape ndimthe dimension of the shape dev_typedevice type, specify device we want to take dev_idthe device id of the specific device delay_allocwhether to delay allocation until the narray is first mutated dtypedata type of created array num_auxthe number of aux data to support this ndarray aux_typedata type of the aux data for the created array aux_ndimsthe dimension of the shapes of aux data aux_shapethe shapes of aux data outthe returning handle 0 when success, -1 when failure happens ","const mx_uint*","aux_shape","the storage type of the ndarray ","","const mx_uint*","mx_uint[]"
